companies,neutral,negative,positive
бланк,0.20407976463785085,0.03753393697057943,0.01942597945946042
вконтакте,0.3934577843627564,0.07800952204854018,0.03290025083873012
ворлдскиллс россия,0.17271443009376525,0.01433464235742575,0.01599141769111156
восток-сервис,0.4378334879875183,0.0,0.0637249946594238
всегда.да,0.19568920995952305,0.039915437973809954,0.022721193931520167
втб,0.3768548690389398,0.08587347343167419,0.02379153250817738
газпромбанк,0.3494118064740409,0.0671650913101904,0.020644330556630622
грузовичкоф,0.40201194703586535,0.0690868494724296,0.03431565774492723
делимобиль,0.4198849797771941,0.1031561514762417,0.027335714385884797
делобанк,0.22663206871823668,0.04577670235753697,0.01678177975262587
деловая среда,0.0,0.0,0.0
домиленд,0.13361082676611288,0.03058201359134895,0.006147283375290281
донстрой,0.2241899996445438,0.04308254458494417,0.018515412042706084
евраз,0.4254727615616066,0.07516093435903183,0.037643285531674744
икра,0.26250550616868623,0.04909956309781742,0.047695972265308105
икс холдинг,0.6214429065585136,0.2763749634226163,0.0457167190810044
инвитро,0.2820550925357095,0.07153379983515713,0.029972043212985904
ингосстрах,0.37753805502200055,0.08593018425146336,0.014974544216200824
интернетурок,0.3272431423266729,0.09483675211668013,0.006895266721645983
клиентская база,0.31287993640539397,0.06991645137071642,0.019804207254297518
комитет,0.38615974981777257,0.08241346696957556,0.025402573862134504
комсомольская правда,0.7474043782295301,0.09441357291088362,0.0183090774459104
контур,0.4133317346691349,0.08757113988033388,0.025957806699620344
корус консалтинг,0.3327427418925814,0.0637064980607576,0.0310144820513906
кофтёныши,0.11284153175223803,0.03146444128227223,0.008120727994687497
крок,0.2368754204919862,0.04406820158259903,0.0228330335292715
лаборатория касперского,0.3386803533747857,0.0743246718338182,0.02290032320895246
лайфхакер,0.43044820990415444,0.08590263045602266,0.032150420045835425
логомашина,0.3506770356057643,0.06918625459490263,0.02830256648667638
магора,0.9219318628311156,0.0780881643295288,0.0
макс,0.2723539049267447,0.05430149215479898,0.029420170334741064
максимателеком,0.5338187862325894,0.1004173374219894,0.05017022907550032
манго,0.3379137466609158,0.07958689598116635,0.03131969203826325
манифест,0.355033429618044,0.06548163831113889,0.046318647444258475
мастера,0.3092073587011282,0.07029900778919175,0.02201347749401851
мегаплан,0.34036690217595306,0.058027398699109146,0.034979319004171436
мегафон,0.4528354088359548,0.09512527474330136,0.0255334265441046
медиалогия,0.34460306181496847,0.07222162454423363,0.03591160057388944
метр квадратный,0.4499673271551728,0.0516679942607879,0.1053784981369972
модульбанк,0.43587687580525103,0.09845183167721124,0.03151710845879917
мойсклад,0.4406255887545356,0.09261926863721394,0.020249336226364194
московская биржа,0.4189674870810772,0.0773461108267179,0.007124758137035216
московский акселератор,0.27224580353746813,0.1362831504860272,0.0165594359859824
мтс,0.40635827738573144,0.08975896927702598,0.02669268809789289
мэйл,0.30234777832922705,0.08369998938461559,0.03420115817601323
некидаем,0.0,0.0,0.0
нетрика,0.3491960242424179,0.06499886649125759,0.11368452632568155
одноклассники,0.3459139513657286,0.0601927557679926,0.02841644136171334
открытие инвестиции,0.7720282872517904,0.168930654724439,0.0
открытие факторинг,0.5393509405345975,0.13340935024675976,0.039105187932198686
пик,0.3495031516157693,0.07735017575192166,0.027986613974376892
портал поставщиков,0.0,0.0,0.0
поселок,0.242306877844604,0.06010910088988765,0.020420219034865662
почта банк,0.33907441924252774,0.08969864301828198,0.014539313387011038
почта россии,0.40373495308924556,0.10534739853990394,0.018489175137673022
почтовые технологии,0.5545454466007125,0.228290319022998,0.0062207281064819
программный продукт,0.0,0.0,0.0
проконтекст,0.35414378517923073,0.045945325632785146,0.06302595602590991
псб,0.34653015810647136,0.08586138290342633,0.02129775917666902
пэк,0.2997421309604401,0.07905867024613447,0.014590180108962087
райффайзенбанк,0.36203454471749297,0.07585042156541419,0.03035418774486152
рбк,0.4789604068319801,0.11051858978110089,0.02706432276003417
рвк,0.5149710111704406,0.09987140404623883,0.0438188735879748
